iter	Passed	Remaining
0	142	142821
1	147	73715
2	153	50898
3	158	39412
4	163	32456
5	168	27888
6	174	24712
7	179	22199
8	184	20345
9	189	18775
10	194	17477
11	199	16400
12	204	15501
13	209	14733
14	214	14064
15	219	13488
16	224	12977
17	229	12513
18	234	12110
19	239	11737
20	244	11407
21	249	11089
22	254	10820
23	260	10578
24	265	10346
25	270	10131
26	275	9915
27	279	9717
28	284	9526
29	289	9357
30	294	9205
31	299	9057
32	304	8924
33	309	8790
34	316	8719
35	322	8643
36	327	8535
37	334	8471
38	340	8400
39	345	8296
40	351	8221
41	356	8125
42	361	8037
43	366	7968
44	372	7898
45	377	7820
46	383	7766
47	388	7707
48	393	7642
49	399	7589
50	404	7526
51	409	7463
52	414	7410
53	419	7355
54	425	7305
55	431	7275
56	437	7233
57	442	7185
58	447	7139
59	452	7096
60	457	7049
61	462	7004
62	468	6970
63	474	6933
64	479	6897
65	484	6863
66	489	6820
67	495	6789
68	501	6759
69	506	6722
70	511	6695
71	517	6667
72	522	6633
73	527	6601
74	532	6567
75	537	6533
76	542	6501
77	548	6483
78	553	6456
79	560	6448
80	567	6433
81	572	6414
82	578	6393
83	583	6363
84	589	6348
85	595	6328
86	601	6312
87	608	6305
88	615	6298
89	622	6294
90	628	6280
91	634	6264
92	641	6255
93	647	6237
94	652	6214
95	657	6190
96	662	6164
97	667	6140
98	672	6120
99	677	6100
100	683	6082
101	688	6058
102	693	6039
103	698	6017
104	703	5997
105	708	5978
106	713	5957
107	719	5945
108	725	5929
109	730	5908
110	735	5889
111	740	5870
112	745	5850
113	749	5828
114	754	5810
115	760	5792
116	764	5773
117	770	5759
118	777	5754
119	783	5748
120	789	5737
121	794	5720
122	799	5701
123	805	5692
124	811	5677
125	816	5663
126	821	5646
127	826	5633
128	832	5618
129	837	5602
130	842	5586
131	847	5571
132	852	5559
133	858	5547
134	863	5532
135	868	5516
136	874	5508
137	881	5503
138	888	5502
139	893	5489
140	898	5474
141	903	5459
142	908	5445
143	914	5438
144	920	5425
145	925	5413
146	930	5399
147	936	5390
148	942	5381
149	947	5368
150	952	5352
151	956	5338
152	961	5323
153	967	5313
154	972	5298
155	976	5284
156	982	5273
157	987	5262
158	992	5249
159	997	5237
160	1002	5223
161	1007	5210
162	1013	5202
163	1019	5194
164	1023	5181
165	1028	5169
166	1034	5160
167	1040	5152
168	1045	5139
169	1050	5127
170	1055	5118
171	1061	5110
172	1067	5102
173	1073	5094
174	1078	5083
175	1083	5071
176	1088	5059
177	1092	5047
178	1097	5034
179	1102	5021
180	1107	5011
181	1112	4999
182	1117	4990
183	1123	4980
184	1129	4977
185	1136	4973
186	1142	4965
187	1147	4955
188	1152	4945
189	1157	4932
190	1162	4923
191	1167	4912
192	1172	4902
193	1177	4891
194	1182	4883
195	1188	4874
196	1193	4864
197	1198	4854
198	1203	4844
199	1208	4833
200	1213	4824
201	1219	4815
202	1224	4806
203	1228	4795
204	1234	4786
205	1240	4781
206	1246	4776
207	1251	4765
208	1256	4755
209	1261	4747
210	1266	4736
211	1271	4726
212	1277	4720
213	1282	4710
214	1287	4701
215	1292	4692
216	1297	4682
217	1302	4672
218	1308	4665
219	1313	4655
220	1318	4647
221	1323	4636
222	1328	4628
223	1333	4618
224	1339	4613
225	1345	4607
226	1351	4600
227	1356	4593
228	1362	4586
229	1368	4582
230	1375	4578
231	1381	4573
232	1387	4567
233	1392	4559
234	1398	4551
235	1403	4542
236	1408	4535
237	1413	4525
238	1420	4521
239	1425	4514
240	1430	4504
241	1435	4496
242	1440	4487
243	1445	4479
244	1451	4473
245	1457	4467
246	1463	4462
247	1468	4453
248	1473	4444
249	1478	4436
250	1483	4427
251	1488	4418
252	1493	4410
253	1499	4403
254	1504	4396
255	1510	4390
256	1516	4385
257	1523	4380
258	1528	4372
259	1533	4363
260	1537	4354
261	1542	4345
262	1547	4337
263	1553	4329
264	1559	4325
265	1565	4320
266	1570	4311
267	1576	4305
268	1581	4297
269	1586	4289
270	1591	4282
271	1596	4273
272	1601	4265
273	1606	4257
274	1611	4248
275	1616	4241
276	1621	4233
277	1628	4228
278	1633	4220
279	1638	4212
280	1643	4203
281	1647	4195
282	1653	4189
283	1658	4181
284	1663	4172
285	1668	4165
286	1673	4157
287	1677	4148
288	1683	4140
289	1688	4132
290	1693	4126
